op,sub,dst_type,src_types,contiguity(dst:srcs),shape_class,count,graphs,family,example
REPEAT,-,f32,f32,C:C,nd3,4,4,K2,"dst4,128,246,1 s0:1,128,246,1 p=-"
RESHAPE,-,f16,f16,C:C,view,1082,6,noop,"dst768,1024,1,1 s0:768,32,32,1 p=-"
RESHAPE,-,f32,f32,C:C,view,858,8,noop,"dst32,32,1,1024 s0:1024,1024,1,1 p=-"
RMS_NORM,-,f32,f32,C:C,row<=128,240,2,K3,"dst128,12,4096,1 s0:128,12,4096,1 p=730643660"
SOFT_MAX,-,f32,f32,C:C,row<=4096,24,1,K4,"dst1029,1029,16,1 s0:1029,1029,16,1 p=1040187392"
TRANSPOSE,-,f32,f32,N:C,view,3,2,noop,"dst1024,1024,1,1 s0:1024,1024,1,1 p=-"
UNARY,NEG,f32,f32,C:C,nd4,120,2,K1,"dst1,64,12,4096 s0:1,64,12,4096 p=2"
UNARY,GELU,f32,f32,C:C,nd2,60,2,K1,"dst8192,4096,1,1 s0:8192,4096,1,1 p=8"
UNARY,NEG,f32,f32,C:C,nd3,48,1,K1,"dst32,16,1024,1 s0:32,16,1024,1 p=2"
UNARY,SILU,f32,f32,C:C,nd2,40,5,K1,"dst4096,32,1,1 s0:4096,32,1,1 p=10"
UNARY,GELU_ERF,f32,f32,C:C,nd2,24,1,K1,"dst4096,1029,1,1 s0:4096,1029,1,1 p=16"
UNARY,SILU,f32,f32,C:C,nd4,17,1,K1,"dst16,16,16,512 s0:16,16,16,512 p=10"
UNARY,SILU,f32,f32,C:C,nd1,4,2,K1,"dst1536,1,1,1 s0:1536,1,1,1 p=10"
VIEW,-,f16,f16,R:C,view,1080,5,noop,"dst1024,1,1024,1 s0:1024,27,1024,1 p=-"
VIEW,-,f32,f32,R:C,view,636,3,noop,"dst32,16,1024,1 s0:64,16,1024,1 p=128"
VIEW,-,f32,f32,C:C,view,456,3,noop,"dst64,16,5,1 s0:64,16,1029,1 p=-"
